,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster_Neighborhood,TotalSF,TotalBath,TotalPorchSF
492,493,60,RL,105.0,15578,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,728.0,GasA,Gd,Y,SBrkr,0,3,1,TA,8,Typ,No,Unavailable,Attchd,2006.0,RFn,2.0,429.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2006,New,Partial,5,2184.0,3.0,0
493,494,20,RL,70.0,7931,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,GasA,TA,Y,FuseA,0,3,1,TA,6,Typ,Yes,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2008,WD,Normal,5,2538.0,2.0,0
494,495,30,RM,50.0,5784,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,GasA,Gd,Y,FuseA,0,2,1,TA,4,Typ,No,Unavailable,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,12,2009,WD,Normal,2,1076.0,1.0,244
495,496,30,C (all),60.0,7879,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,495.0,Unf,0.0,225.0,GasA,TA,N,FuseA,0,2,1,TA,4,Typ,No,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,Unavailable,Unavailable,N,No,Unavailable,GdWo,Unavailable,0,11,2009,WD,Abnorml,2,1440.0,1.0,638
496,497,20,RL,89.0,12692,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1992,1993,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1231.0,Unf,0.0,1969.0,GasA,Ex,Y,SBrkr,0,4,1,Gd,10,Typ,Yes,Gd,Attchd,1992.0,RFn,2.0,546.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2007,WD,Normal,5,6428.0,4.0,630
497,498,50,RL,60.0,9120,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,6,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,PConc,TA,TA,No,Rec,329.0,Unf,0.0,697.0,GasA,Ex,Y,SBrkr,0,4,1,TA,8,Typ,No,Unavailable,Detchd,1925.0,Unf,1.0,240.0,TA,TA,N,No,Unavailable,GdPrv,Unavailable,0,6,2008,WD,Normal,5,2846.0,3.0,100
498,499,20,RL,65.0,7800,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89.0,TA,TA,PConc,TA,TA,No,ALQ,450.0,Unf,0.0,414.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,5,Typ,No,Unavailable,Attchd,1967.0,Fin,1.0,288.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,6,2009,WD,Normal,3,1763.0,1.0,64
499,500,20,RL,70.0,7535,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1985,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,111.0,LwQ,279.0,522.0,GasA,Fa,Y,SBrkr,0,2,1,TA,5,Typ,No,Unavailable,Attchd,1958.0,Fin,1.0,297.0,TA,TA,Y,No,Unavailable,MnWw,Shed,480,6,2007,WD,Normal,5,1824.0,2.0,297
500,501,160,RM,21.0,1890,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,285.0,TA,TA,CBlock,TA,TA,No,BLQ,356.0,Unf,0.0,316.0,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,No,Unavailable,Detchd,1973.0,Unf,1.0,264.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2007,WD,Normal,5,1890.0,2.0,172
501,502,60,FV,75.0,9803,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,400.0,Unf,0.0,466.0,GasA,Gd,Y,SBrkr,0,3,1,Gd,7,Typ,No,Unavailable,Attchd,2005.0,RFn,2.0,603.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,2,2008,WD,Normal,4,2634.0,3.0,108
502,503,20,RL,70.0,9170,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Feedr,Norm,1Fam,1Story,5,7,1965,1965,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,698.0,GLQ,96.0,420.0,GasA,Ex,Y,SBrkr,0,2,1,TA,6,Typ,No,Unavailable,Detchd,1965.0,Unf,2.0,461.0,Fa,Fa,Y,No,Unavailable,GdPrv,Shed,400,4,2007,WD,Normal,2,2428.0,2.0,184
503,504,20,RL,100.0,15602,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,8,1959,1997,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1247.0,Unf,0.0,254.0,GasA,TA,Y,SBrkr,0,1,1,TA,6,Typ,Yes,TA,Attchd,1959.0,Fin,2.0,484.0,TA,TA,Y,No,Unavailable,GdWo,Unavailable,0,3,2010,WD,Normal,2,3302.0,3.0,215
504,505,160,RL,24.0,2308,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,1974,1974,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,257.0,Rec,495.0,103.0,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,Yes,Fa,Attchd,1974.0,Unf,2.0,440.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2009,WD,Normal,5,2177.0,4.0,260
505,506,90,RM,60.0,7596,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,Duplex,2Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,360.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,960.0,GasA,Gd,Y,SBrkr,0,4,2,TA,10,Typ,No,Unavailable,Detchd,1952.0,Unf,2.0,400.0,TA,TA,N,No,Unavailable,Unavailable,Unavailable,0,7,2009,COD,Normal,2,2920.0,2.0,0
506,507,60,RL,80.0,9554,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,8,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,BrkFace,125.0,Gd,TA,PConc,Gd,TA,No,GLQ,380.0,Unf,0.0,397.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,Yes,TA,Attchd,1993.0,RFn,2.0,471.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2006,WD,Normal,3,2688.0,3.0,263
507,508,20,FV,75.0,7862,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,27.0,Unf,0.0,1191.0,GasA,Ex,Y,SBrkr,0,2,1,Gd,4,Typ,No,Unavailable,Attchd,2009.0,Fin,2.0,676.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2009,New,Partial,4,2436.0,2.0,102
508,509,70,RM,60.0,9600,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,9,1928,2005,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,TA,Ex,BrkTil,TA,TA,No,Rec,141.0,Unf,0.0,548.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,Gd,Detchd,1928.0,Unf,2.0,360.0,TA,TA,N,No,Unavailable,Unavailable,Unavailable,0,10,2008,WD,Normal,2,2067.0,2.0,116
509,510,20,RL,80.0,9600,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,MetalSd,MetalSd,BrkFace,132.0,TA,TA,CBlock,TA,TA,No,ALQ,991.0,Unf,0.0,50.0,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,No,Unavailable,Attchd,1959.0,RFn,1.0,270.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,7,2009,WD,Normal,5,2082.0,2.0,312
510,511,20,RL,75.0,14559,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70.0,Gd,TA,CBlock,TA,TA,No,BLQ,650.0,Rec,180.0,178.0,GasA,Ex,Y,SBrkr,0,2,1,TA,6,Min1,Yes,TA,CarPort,1951.0,Unf,1.0,288.0,TA,TA,Y,No,Unavailable,Unavailable,Shed,2000,6,2009,WD,Normal,5,2371.0,2.0,534
511,512,120,RL,40.0,6792,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,94.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1368.0,GasA,Ex,Y,SBrkr,0,2,1,Gd,6,Typ,Yes,Gd,Attchd,2005.0,RFn,2.0,474.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,3,2006,New,Partial,5,2736.0,2.0,167
512,513,20,RL,70.0,9100,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,521.0,LwQ,174.0,169.0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,No,Unavailable,Detchd,1964.0,Unf,2.0,624.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2006,WD,Normal,5,1728.0,2.0,0
513,514,20,RL,71.0,9187,Pave,Unavailable,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,336.0,Unf,0.0,748.0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,No,Unavailable,Attchd,1983.0,Unf,2.0,484.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2007,WD,Normal,3,2164.0,2.0,278
514,515,45,RL,55.0,10594,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,1926,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,768.0,Grav,Fa,N,SBrkr,0,2,1,TA,5,Typ,No,Unavailable,Detchd,1926.0,Unf,1.0,200.0,Po,Po,Y,No,Unavailable,MnPrv,Unavailable,0,6,2007,WD,Normal,2,1557.0,1.0,112
515,516,20,RL,94.0,12220,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2009,2009,Hip,CompShg,CemntBd,CmentBd,BrkFace,305.0,Ex,TA,CBlock,Ex,TA,No,GLQ,1436.0,Unf,0.0,570.0,GasA,Ex,Y,SBrkr,0,3,1,Ex,9,Typ,Yes,Gd,Attchd,2009.0,Fin,3.0,900.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,9,2009,New,Partial,5,4026.0,4.0,210
516,517,80,RL,80.0,10448,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,6,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,333.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,689.0,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,Yes,TA,Attchd,1972.0,RFn,2.0,583.0,TA,TA,Y,No,Unavailable,GdPrv,Unavailable,0,8,2009,COD,Abnorml,4,2808.0,3.0,104
517,518,60,RL,79.0,10208,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,921.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1264.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,Yes,TA,Attchd,1996.0,RFn,3.0,889.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2009,WD,Normal,5,3608.0,3.0,220
518,519,60,RL,70.0,9531,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,706.0,Unf,0.0,88.0,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,No,Unavailable,Attchd,1998.0,RFn,2.0,546.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,5,2007,WD,Normal,4,2590.0,4.0,36
519,520,70,RL,53.0,10918,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,9,1926,2004,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,1276.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,9,Typ,Yes,Gd,Detchd,1926.0,Unf,1.0,282.0,TA,TA,Y,No,Unavailable,MnPrv,Unavailable,0,6,2009,WD,Normal,2,3356.0,2.0,145
520,521,190,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,7,1900,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Unavailable,Unavailable,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,GasA,TA,N,FuseA,0,3,2,TA,7,Typ,No,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,Unavailable,Unavailable,N,No,Unavailable,Unavailable,Unavailable,0,8,2008,WD,Normal,2,1294.0,2.0,544
521,522,20,RL,90.0,11988,Pave,Unavailable,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1957,1957,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,777.0,Unf,0.0,467.0,GasA,Ex,Y,FuseA,0,3,1,TA,6,Typ,Yes,Gd,Attchd,1957.0,Unf,1.0,336.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,5,2007,WD,Normal,5,2488.0,2.0,40
522,523,50,RM,50.0,5000,Pave,Unavailable,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,399.0,Unf,0.0,605.0,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,Yes,Gd,Detchd,1950.0,Unf,2.0,420.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,10,2006,WD,Normal,5,2668.0,2.0,60
523,524,60,RL,130.0,40094,Pave,Unavailable,IR1,Bnk,AllPub,Inside,Gtl,Edwards,PosN,PosN,1Fam,2Story,10,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,762.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2260.0,Unf,0.0,878.0,GasA,Ex,Y,SBrkr,0,3,1,Ex,11,Typ,Yes,Gd,BuiltIn,2007.0,Fin,3.0,884.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,10,2007,New,Partial,2,7814.0,5.0,614
524,525,60,RL,95.0,11787,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,594.0,Gd,TA,PConc,Gd,TA,No,GLQ,719.0,Unf,0.0,660.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,Yes,TA,Attchd,1996.0,Fin,3.0,834.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,8,2007,WD,Normal,5,3777.0,4.0,299
525,526,20,FV,62.0,7500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1257.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,Yes,TA,Attchd,2005.0,Unf,2.0,453.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,4,2006,WD,Normal,4,2523.0,2.0,182
526,527,20,RL,70.0,13300,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,377.0,Unf,0.0,551.0,GasA,TA,Y,SBrkr,0,2,1,TA,4,Typ,No,Unavailable,Attchd,1956.0,Unf,1.0,252.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,6,2007,WD,Normal,5,1856.0,1.0,417
527,528,60,RL,67.0,14948,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,268.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1330.0,Unf,0.0,122.0,GasA,Ex,Y,SBrkr,0,3,1,Ex,11,Typ,Yes,Gd,Attchd,2008.0,Fin,3.0,858.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,11,2008,New,Partial,5,4165.0,4.0,192
528,529,30,RL,58.0,9098,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,7,1920,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,Mn,ALQ,348.0,Unf,0.0,180.0,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,No,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,Unavailable,Unavailable,N,No,Unavailable,Unavailable,Unavailable,0,7,2007,WD,Normal,2,1133.0,2.0,144
529,530,20,RL,70.0,32668,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,3,1957,1975,Hip,CompShg,Wd Sdng,Stone,Unavailable,0.0,Gd,TA,PConc,TA,TA,No,Rec,1219.0,Unf,0.0,816.0,GasA,TA,Y,SBrkr,0,4,2,TA,9,Maj1,Yes,TA,Attchd,1975.0,RFn,2.0,484.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,3,2007,WD,Alloca,2,4550.0,4.0,200
530,531,80,RL,85.0,10200,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,SLvl,6,5,1988,1989,Gable,CompShg,HdBoard,HdBoard,BrkFace,219.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,783.0,Unf,0.0,678.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,5,Typ,Yes,Fa,Attchd,1988.0,RFn,2.0,600.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,8,2008,WD,Abnorml,5,2970.0,3.0,224
531,532,70,RM,60.0,6155,Pave,Unavailable,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,RRNn,Feedr,1Fam,2Story,6,8,1920,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,Fa,Mn,Unf,0.0,Unf,0.0,611.0,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,No,Unavailable,Detchd,1920.0,Fin,2.0,502.0,TA,Fa,Y,No,Unavailable,Unavailable,Unavailable,0,6,2008,WD,Normal,5,1973.0,2.0,84
532,533,20,RL,60.0,7200,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Slab,Unavailable,Unavailable,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Mod,Yes,Po,Detchd,1967.0,Unf,1.0,392.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,4,2010,WD,Normal,5,827.0,1.0,0
533,534,20,RL,50.0,5000,Pave,Unavailable,Reg,Low,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1Story,1,3,1946,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,Fa,Fa,Slab,Unavailable,Unavailable,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,GasA,Fa,N,FuseF,0,1,1,Fa,2,Typ,No,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,Unavailable,Unavailable,N,No,Unavailable,Unavailable,Unavailable,0,1,2007,WD,Normal,5,334.0,1.0,0
534,535,60,RL,74.0,9056,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,Av,Unf,0.0,Unf,0.0,707.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,Yes,Gd,Attchd,2004.0,Fin,2.0,403.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,10,2006,WD,Normal,5,2121.0,3.0,135
535,536,190,RL,70.0,7000,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,2Story,5,7,1910,1991,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,969.0,Unf,0.0,148.0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,No,Unavailable,Unavailable,0.0,Unavailable,0.0,0.0,Unavailable,Unavailable,N,No,Unavailable,Unavailable,Unavailable,0,1,2008,WD,Normal,2,2464.0,2.0,233
536,537,60,RL,57.0,8924,Pave,Unavailable,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,880.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,No,Unavailable,Attchd,1998.0,Fin,2.0,527.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2008,WD,Normal,4,2604.0,3.0,275
537,538,20,RL,73.0,12735,Pave,Unavailable,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,600.0,Unf,0.0,264.0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,No,Unavailable,Detchd,1980.0,Unf,2.0,576.0,TA,TA,Y,No,Unavailable,MnWw,Unavailable,0,4,2008,COD,Normal,5,1728.0,1.0,216
538,539,20,RL,72.0,11553,Pave,Unavailable,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,Plywood,Plywood,BrkFace,188.0,TA,TA,CBlock,TA,TA,No,BLQ,673.0,Unf,0.0,378.0,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,Yes,Fa,Attchd,1968.0,Unf,1.0,336.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,7,2006,WD,Normal,3,2210.0,2.0,466
539,540,20,RL,70.0,11423,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,479.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1358.0,Unf,0.0,223.0,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,Yes,TA,Attchd,2001.0,RFn,2.0,670.0,TA,TA,Y,No,Unavailable,MnPrv,Shed,2000,5,2010,WD,Normal,4,3182.0,3.0,180
540,541,20,RL,85.0,14601,Pave,Unavailable,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,584.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1260.0,Unf,0.0,578.0,GasA,Ex,Y,SBrkr,0,2,1,Ex,8,Typ,Yes,Gd,Attchd,2006.0,Fin,3.0,765.0,TA,TA,Y,No,Unavailable,Unavailable,Unavailable,0,3,2009,WD,Normal,5,3676.0,3.0,338
